Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8266666666666667,0.84375,0.7714285714285715,0.8059701492537313,0.9307142857142856
Random Forest,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.9132142857142856
SVC,0.84,0.8709677419354839,0.7714285714285715,0.8181818181818182,0.94
XGBoost,0.7866666666666666,0.8275862068965517,0.6857142857142857,0.75,0.8678571428571429
