Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9512987012987013
Random Forest,0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.9383116883116883
SVC,0.8360655737704918,0.9090909090909091,0.7142857142857143,0.8,0.9361471861471861
XGBoost,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9534632034632036
